Ore Name,ItemStack,Item ID,Display Name,Wildcard
ForciciumItem,1xitem.item.modingots@26,RotaryCraft:rotarycraft_item_modingots,Monazit Item,false
RotaryCraft:dustBedrock,1xitem.item.powder@4,RotaryCraft:rotarycraft_item_powders,Bedrock Dust,false
RotaryCraft:ingotBedrock,1xitem.item.compacts@3,RotaryCraft:rotarycraft_item_compacts,Bedrock Alloy Ingot,false
alumiteRod,1xitem.tconstruct.ToolRod@15,TConstruct:toolRod,Alumite Tool Rod,false
antiBlock,1xtile.chisel.antiBlock@0,chisel:antiBlock,Anti Block,false
arditeRod,1xitem.tconstruct.ToolRod@11,TConstruct:toolRod,Ardite Tool Rod,false
bamboo,1xitem.grc.bamboo@0,Growthcraft|Bamboo:grc.bamboo,Bamboo,false
barkAcacia,1xitem.sinhikabark_bark@4,sinhikabark:sinhikabark_bark,Acacia Bark,false
barkBig_oak,1xitem.sinhikabark_bark@5,sinhikabark:sinhikabark_bark,Dark Oak Bark,false
barkBirch,1xitem.sinhikabark_bark@2,sinhikabark:sinhikabark_bark,Birch Bark,false
barkCinnamon,1xitem.sinhikabark_bark@3,sinhikabark:sinhikabark_bark,Cinnamon Sticks,false
barkOak,1xitem.sinhikabark_bark@0,sinhikabark:sinhikabark_bark,Oak Bark,false
barkSpruce,1xitem.sinhikabark_bark@1,sinhikabark:sinhikabark_bark,Spruce Bark,false
beeQueen,1xitem.grc.bee@0,Growthcraft|Bees:grc.bee,Bee,false
beeQueen,1xitem.queenbeeItem@0,harvestcraft:queenbeeItem,Queen Bee,false
blockAdamantine,1xtile.metal.block.fantasy.block@13,Metallurgy:fantasy.block,Adamantine Block,false
blockAlduorite,1xtile.metal.block.nether.block@6,Metallurgy:nether.block,Alduorite Block,false
blockAluminium,1xtile.tconstruct.metalblock@6,TConstruct:MetalBlock,Block of Aluminum,false
blockAluminiumBrass,1xtile.tconstruct.metalblock@7,TConstruct:MetalBlock,Block of Aluminum Brass,false
blockAluminum,1xtile.tconstruct.metalblock@6,TConstruct:MetalBlock,Block of Aluminum,false
blockAluminumBrass,1xtile.tconstruct.metalblock@7,TConstruct:MetalBlock,Block of Aluminum Brass,false
blockAlumite,1xtile.tconstruct.metalblock@8,TConstruct:MetalBlock,Block of Alumite,false
blockAmordrine,1xtile.metal.block.nether.block@12,Metallurgy:nether.block,Amordrine Block,false
blockAngmallen,1xtile.metal.block.base.block@6,Metallurgy:base.block,Angmallen Block,false
blockArdite,1xtile.tconstruct.metalblock@1,TConstruct:MetalBlock,Block of Ardite,false
blockAstralSilver,1xtile.metal.block.fantasy.block@5,Metallurgy:fantasy.block,Astral Silver Block,false
blockAtlarus,1xtile.metal.block.fantasy.block@14,Metallurgy:fantasy.block,Atlarus Block,false
blockBitumen,1xtile.metal.block.utility.block@4,Metallurgy:utility.block,Bitumen Block,false
blockBlackSteel,1xtile.metal.block.fantasy.block@3,Metallurgy:fantasy.block,Black Steel Block,false
blockBrass,1xtile.metal.block.precious.block@3,Metallurgy:precious.block,Brass Block,false
blockBronze,1xtile.thermalfoundation.storage@9,ThermalFoundation:Storage,Tinker's Alloy Block,false
blockBronze,1xtile.tconstruct.metalblock@4,TConstruct:MetalBlock,Block of Bronze,false
blockBronze,1xtile.metal.block.base.block@3,Metallurgy:base.block,Bronze Block,false
blockCarmot,1xtile.metal.block.fantasy.block@6,Metallurgy:fantasy.block,Carmot Block,false
blockCarpet,1xtile.chisel.carpet_block@0,chisel:carpet_block,Carpet,false
blockCarrot,1xtile.ganyssurface.storage@1,ganyssurface:storage,Block of Carrots,false
blockCelenegil,1xtile.metal.block.fantasy.block@12,Metallurgy:fantasy.block,Celenegil Block,false
blockCeruclase,1xtile.metal.block.nether.block@5,Metallurgy:nether.block,Ceruclase Block,false
blockCharcoal,1xtile.ganyssurface.charcoalBlock@0,ganyssurface:charcoalBlock,Block of Charcoal,false
